4|sport|11|11|3245
1|1|orizontal|1|polisportiv|Practica mai multe sporturi cu succes
1|2|orizontal|2|aruncatoare|Concurenta la disc si sulita
1|3|orizontal|3|tineri|Apti pentru sport
8|3|orizontal|3|cr|Primele la cros!
3|4|orizontal|4|gli|Articol in limba latina
7|4|orizontal|4|caiac|Ambarcatiune sportiva cu padele
1|5|orizontal|5|na|Finale la oina!
6|5|orizontal|5|padela|Vasla folosita in sporturile nautice
1|6|orizontal|6|act|O parte din joc
5|6|orizontal|6|rana|Leziune
10|6|orizontal|6|un|Articol nehotarat
1|7|orizontal|7|trening|Echipament sportiv
9|7|orizontal|7|an|Perioada sportiva competitionala
1|8|orizontal|8|oo|Scor alb!
4|8|orizontal|8|adaus|E in plus
10|8|orizontal|8|eb|Gheb in spate!
1|9|orizontal|9|aburi|Sunt o forta
7|9|orizontal|9|risca|Joc de noroc cu banul
1|10|orizontal|10|rataci|A o lua pe cai gresite
8|10|orizontal|10|laur|Dafin
1|11|orizontal|11|eta|Etapa neterminata!
5|11|orizontal|11|apti|Au trecut testul
10|11|orizontal|11|se|Finalul oricarei curse!
1|1|vertical|1|patinatoare|Femeie care practica un sport pe gheata
2|1|vertical|2|ori|Ne da de ales
2|5|vertical|2|acrobat|Gimnast sub cupola
3|1|vertical|3|lung|Fost portar de fotbal
3|6|vertical|3|te|Debut in tenis!
3|9|vertical|3|uta|Echipa de fotbal
4|1|vertical|4|inele|Aparat in gimnastica masculina
4|7|vertical|4|nara|Orificiu nazal
5|1|vertical|5|scri|Scriere neterminata!
5|6|vertical|5|ridica|A evolua la haltere
6|1|vertical|6|pai|Sustinator la bob
6|5|vertical|6|pana|Categorie la box
6|10|vertical|6|ip|In tripou!
7|1|vertical|7|ot|Finale la inot!
7|4|vertical|7|cangur|Campion la sarituri
8|1|vertical|8|rocada|Miscare dubla la jocul de sah
8|8|vertical|8|sili|A forta
9|1|vertical|9|tarie|Forta musculara
9|9|vertical|9|sa|Piesa la calarie
10|1|vertical|10|ir|Perie!
10|4|vertical|10|alunecus|Pista naturala pentru patinaj si saniute
11|1|vertical|11|vescan|Compozitor roman
11|8|vertical|11|bare|Stalpi ai portii la fotbal sau handbal
